Settings;Accuracy;TP.Rate;FP.Rate;Precision;Recall;F-Measure;ROC-Area;;;;;;
Default;23.60%;0.236;0.138;0.203;0.236;0.205;0.677;;;;;;
A;23.64%;0.236;0.137;0.205;0.236;0.207;0.678;;;;;;
H (10);23.43%;0.234;0.140;0.199;0.234;0.200;0.676;;;;;;
H (100);23.58%;0.236;0.138;0.203;0.236;0.205;0.678;;;;;;
I (100);23.63%;0.236;0.137;0.205;0.236;0.207;0.678;;;;;;
I (250);23.63%;0.236;0.136;0.207;0.236;0.208;0.678;;;;;;
M (400);23.59%;0.236;0.138;0.203;0.236;0.205;0.677;;;;;;
M (600);23.59%;0.236;0.138;0.203;0.236;0.205;0.677;;;;;;
M (1000);23.59%;0.236;0.138;0.203;0.237;0.205;0.677;;;;;;
W (0.3);20.44%;0.204;0.170;?;0.204;?;0.635;;;;;;
